filename, Gun, Knife, Pliers, Scissors, Wrench
P00392_jpg.rf.927a720cb4be08db58c89aa0bafe58ba.jpg, 1, 1, 0, 0, 0
P08714_jpg.rf.92ae9225b26d09c6efba68704c723e65.jpg, 0, 0, 1, 0, 0
P06862_jpg.rf.92b47b9cee6b711d9d26245b83cf3a27.jpg, 0, 0, 0, 1, 0
P00532_jpg.rf.92bc280cf669e4fd66d9f3b26a036c3c.jpg, 0, 1, 0, 0, 0
P08428_jpg.rf.92c57b5d947cda38d974ba0266aaf66d.jpg, 0, 0, 1, 0, 0
P08245_jpg.rf.92c928fbdf1226d23cd296175f7e6863.jpg, 0, 0, 1, 0, 0
P05651_jpg.rf.92da1f097b66c3ea8bcaea18585d0058.jpg, 0, 0, 0, 1, 0
P06108_jpg.rf.92db88d33566a94adacab7dbefd8e6c2.jpg, 0, 0, 1, 0, 1
P02344_jpg.rf.92f90f31707b00af9e39842e02667d73.jpg, 1, 0, 0, 0, 0
P01140_jpg.rf.9310a37ca804da3fe93c6f7bd24789cf.jpg, 1, 0, 1, 0, 0
P05712_jpg.rf.93258f1f63f26091be1b4d63cad9ed87.jpg, 0, 0, 1, 0, 0
P04549_jpg.rf.932bc0a3c67be9d51b1c954862785855.jpg, 0, 0, 0, 0, 1
P07127_jpg.rf.932593665246ba9b3c201ffa418149a0.jpg, 0, 0, 1, 0, 0
P08750_jpg.rf.93499fc438fc7da1d0a687d7339caa53.jpg, 0, 0, 1, 0, 0
P06051_jpg.rf.9362edc8a9b64caa63b1294cb2bdb7d7.jpg, 0, 0, 1, 0, 0
P03709_jpg.rf.9379cb071f146f4414426ddede4088ce.jpg, 1, 0, 0, 0, 0
P01062_jpg.rf.93175e4579358f40ef7f370ab222114d.jpg, 1, 0, 1, 0, 0
P06805_jpg.rf.936d1d8da47072e45d893c97e4e9631e.jpg, 0, 0, 1, 0, 1
P06879_jpg.rf.93a83a7e97ade0450f3761fc75f976da.jpg, 0, 0, 1, 0, 0
P05582_jpg.rf.9336161f4a1b916aae1267b375e79775.jpg, 0, 0, 0, 0, 1
P01715_jpg.rf.938441bb83e049a5f871eefba7121806.jpg, 1, 0, 1, 0, 0
P07337_jpg.rf.93ae708b172233e3cc7747a8da78d6d0.jpg, 0, 0, 1, 0, 0
P07021_jpg.rf.92896edb59aa58ffd60955eaa994d76c.jpg, 0, 0, 0, 0, 1
P02306_jpg.rf.93b65067141d44532784bc6178d2214e.jpg, 1, 0, 0, 0, 0
P03622_jpg.rf.93cf92a8d96494a4d427a8e9cf29f055.jpg, 1, 0, 0, 0, 0
P02508_jpg.rf.93e500896eda6f60148c092d63b43774.jpg, 1, 0, 0, 0, 0
P01035_jpg.rf.93d19a5e9f3aa997ba84a4ba5f466fa5.jpg, 1, 0, 0, 0, 0
P08094_jpg.rf.93d99c61067dee2ffff415efc262a5ed.jpg, 0, 0, 1, 0, 0
P07977_jpg.rf.940354707c2fe698b7b7145d81b4af25.jpg, 0, 0, 1, 0, 0
P05653_jpg.rf.944ad57571c7174acaaa348868a61828.jpg, 0, 0, 1, 0, 0
P07319_jpg.rf.944b10d58e62641e552ab896a2ca266f.jpg, 0, 0, 0, 1, 0
P04119_jpg.rf.93c8f1ed5a3b1826b2b2172f3173d546.jpg, 0, 0, 1, 0, 0
P05307_jpg.rf.93c4f4985284fb994ff0cf241587675a.jpg, 0, 1, 0, 0, 0
